"","zhong","saunders","product"
"CALB2",0.949805181123018,0.940296629465639,0.893098610458975
"SLC9A4",0.727512656879204,0.878913412615685,0.639420631978805
"USP9Y",0.713685214192254,0.874837997431111,0.624358943580145
"PDE11A",0.566112411768309,0.97336737087557,0.551035349862947
"PRKCA",0.878693776438778,0.623520983540895,0.54788400771637
"NYAP2",0.899025462081534,0.605996728127204,0.544806488524457
"SNTG2",0.868193864787978,0.621338731174173,0.539442474360564
"THSD7B",0.863736961208355,0.619578388651942,0.535152754644598
"NR3C2",0.922595434983375,0.572843464890783,0.528502765668296
"CPNE8",0.844643893648256,0.596515920204138,0.503843529464395
"PRMT8",0.926162814462774,0.532989492136833,0.493635048116534
"ATRNL1",0.952479337308359,0.504249654135459,0.480287376408911
"BRINP2",0.74964008043306,0.621782611903249,0.46611316719903
"VAV2",0.544578271905188,0.846739967713849,0.461116188370663
"HOMER3",0.665773355001568,0.691923979541103,0.460664549265116
"NRIP3",0.696987058444057,0.656011689350879,0.457231657665586
"CITED2",0.857721485826916,0.524951821947606,0.450262456708447
"STXBP5L",0.864126681872186,0.485246151716637,0.419314146974145
"AJAP1",0.843002571606813,0.480748486935533,0.405272210782739
"CNTNAP4",0.863015955798608,0.439681966459315,0.379452552531297
"TRIM62",0.693736656567385,0.542810136277576,0.376567289092092
"AMER3",0.769838084494764,0.484938001168383,0.373323741918188
"MCHR1",0.527907480773773,0.667759214424124,0.352515084650113
"RIMS1",0.7428577815378,0.474429302272474,0.352433498982656
"RIMKLA",0.800922885166444,0.433495163751079,0.347196197257214
"TMEM200A",0.602377104305745,0.554795154850789,0.334195898861876
"PLCXD3",0.772715649307928,0.427089815544372,0.330018984131173
"PIP5K1B",0.848299999958044,0.388271621622524,0.329370816606097
"NRXN3",0.972169885739429,0.336959082903684,0.327581473125337
"ARHGEF28",0.820643351392476,0.396721970714709,0.325567247618346
"DACH2",0.657048425963422,0.481977617287409,0.316682634788293
"TEX15",0.435159545215228,0.718276563497927,0.312564902710515
"TLE2",0.544283732226926,0.555280637003523,0.302230217541622
"KCNC2",0.841432000641876,0.355004403429093,0.298712065414017
"ROBO1",0.831852494110806,0.356702714661253,0.296724042847058
"AKAP5",0.895198592377713,0.324306825454635,0.290319013645474
"GRIA1",0.890253075309375,0.320213418579547,0.28507098064577
"ELFN2",0.643909318110915,0.441678592114877,0.284400961072879
"ACKR3",0.887779815921727,0.318162199018371,0.282457978477781
"SAMD14",0.476414456178185,0.591575792096991,0.281835259280067
"CCK",0.953602579693947,0.292751246177107,0.279168343563107
"SMPD3",0.495268819957312,0.560831301798156,0.277762257036696
"SLITRK1",0.742612423934489,0.372518831818434,0.276637112657932
"THRB",0.972041651678399,0.283888210598213,0.275951165121912
"REPS2",0.613434573870373,0.448187669348948,0.274933811961028
"RGMB",0.506413500001023,0.537468843676386,0.272181478267661
"GSE1",0.498305656724303,0.534503465137103,0.26634610021656
"EPHA6",0.721352059205755,0.361009746697261,0.260415124173417
"DCLK2",0.686697018306048,0.369929533758885,0.254029507815573
